Manufacturer,Model,Description,Transmission,Manual or Automatic,Engine Capacity,Fuel Type,Powertrain,Engine Power (PS),Engine Power (Kw),Electric energy consumption Miles/kWh,wh/km,Maximum range (Km),Maximum range (Miles),Euro Standard,Diesel VED Supplement,Testing Scheme,WLTP Imperial Low,WLTP Imperial Medium,WLTP Imperial High,WLTP Imperial Extra High,WLTP Imperial Combined,WLTP Imperial Combined (Weighted),WLTP Metric Low,WLTP Metric Medium,WLTP Metric High,WLTP Metric Extra High,WLTP Metric Combined,WLTP Metric Combined (Weighted),WLTP CO2,WLTP CO2 Weighted,Equivalent All Electric Range Miles,Equivalent All Electric Range KM,Electric Range City Miles,Electric Range City Km,Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km],Particulates [No.] [mg/km],RDE NOx Urban,RDE NOx Combined,Noise Level dB(A),Date of change,
BMW,X3,X3 20 xDrive M Sport,A8,Automatic,1998,Petrol Electric,Mild Hybrid Electric Vehicle (MHEV),208,153,,,,,Euro 6 EC,False,WLTP,30.7,44.8,46.4,38.2,40.4,0,9.2,6.3,6,7.4,7,0,163,0,,,,,147,10,8,,0.69,,,66.0,26 November 2025,
BMW,X3,X3 20d xDrive xLine,A8,Automatic,1995,Diesel Electric,Mild Hybrid Electric Vehicle (MHEV),197,145,,,,,Euro 6 EC,False,WLTP,34.4,49.5,54.3,44.8,46.3,0,8.2,5.7,5.2,6.3,6.1,0,154,0,,,,,55,,21,28,0.22,,,65.0,26 November 2025,
BMW,X3,X3 20d xDrive xLine,A8,Automatic,1995,Diesel Electric,Mild Hybrid Electric Vehicle (MHEV),197,145,,,,,Euro 6 EC,False,WLTP,36.2,51.4,56.5,46.3,47.9,0,7.8,5.5,5,6.1,5.9,0,160,0,,,,,55,,21,28,0.22,,,65.0,26 November 2025,
BMW,X3,X3 20d xDrive M Sport,A8,Automatic,1995,Diesel Electric,Mild Hybrid Electric Vehicle (MHEV),197,145,,,,,Euro 6 EC,False,WLTP,34.4,48.7,54.3,44.8,46.3,0,8.2,5.8,5.2,6.3,6.1,0,155,0,,,,,55,,21,28,0.22,,,65.0,26 November 2025,
BMW,X3,X3 20d xDrive M Sport,A8,Automatic,1995,Diesel Electric,Mild Hybrid Electric Vehicle (MHEV),197,145,,,,,Euro 6 EC,False,WLTP,35.8,51.4,56.5,46.3,47.9,0,7.9,5.5,5,6.1,5.9,0,160,0,,,,,55,,21,28,0.22,,,65.0,26 November 2025,
BMW,X3,X3 30e xDrive xLine,A8,Automatic,1998,Electricity / Petrol,Plug-in Hybrid Electric Vehicle (PHEV),299,220,3.8,163,,,Euro 6 EB,False,WLTP,0,0,0,0,0,94.2,0,0,0,0,0,3,0,64,53,85,,98,210,8,10,,0.46,,,65.0,26 November 2025,
BMW,X3,X3 30e xDrive xLine,A8,Automatic,1998,Electricity / Petrol,Plug-in Hybrid Electric Vehicle (PHEV),299,220,3.9,159,,,Euro 6 EB,False,WLTP,0,0,0,0,0,100.9,0,0,0,0,0,2.8,0,69,55,88,,104,215,9,10,,0.70,,,65.0,26 November 2025,
BMW,X3,X3 30e xDrive M Sport,A8,Automatic,1998,Electricity / Petrol,Plug-in Hybrid Electric Vehicle (PHEV),299,220,3.8,163,,,Euro 6 EB,False,WLTP,0,0,0,0,0,94.2,0,0,0,0,0,3,0,64,53,85,,99,210,8,10,,0.46,,,65.0,26 November 2025,
BMW,X3,X3 30e xDrive M Sport,A8,Automatic,1998,Electricity / Petrol,Plug-in Hybrid Electric Vehicle (PHEV),299,220,3.9,160,,,Euro 6 EB,False,WLTP,0,0,0,0,0,100.9,0,0,0,0,0,2.8,0,69,55,88,,104,215,9,10,,0.70,,,65.0,26 November 2025,
BMW,X3,X3 M50 xDrive,A8,Automatic,2998,Petrol Electric,Mild Hybrid Electric Vehicle (MHEV),398,293,,,,,Euro 6 EC,False,WLTP,24.7,38.6,42.1,34.8,35.3,0,11.4,7.3,6.7,8.1,8,0,175,0,,,,,116,13,3,,0.15,,,67.0,26 November 2025,
BMW,X3,X3 M50 xDrive,A8,Automatic,2998,Petrol Electric,Mild Hybrid Electric Vehicle (MHEV),398,293,,,,,Euro 6 EC,False,WLTP,25,40.4,43.5,36.2,36.7,0,11.3,7,6.5,7.8,7.7,0,180,0,,,,,116,13,3,,0.15,,,67.0,26 November 2025,
BMW,X4,X4 xDrive20d M Sport,A8,Automatic,1995,Diesel Electric,Mild Hybrid Electric Vehicle (MHEV),190,140,,,,,Euro 6 EB,False,WLTP,38.1,45.5,48.7,40.9,43.4,0,7.4,6.2,5.8,6.9,6.5,0,159,0,,,,,165,,21,66,0.14,,,67.0,26 November 2025,
BMW,X4,X4 xDrive20d M Sport,A8,Automatic,1995,Diesel Electric,Mild Hybrid Electric Vehicle (MHEV),190,140,,,,,Euro 6 EB,False,WLTP,40.4,49.6,52.3,43.5,46.3,0,7,5.7,5.4,6.5,6.1,0,170,0,,,,,179,,25,69,0.15,,,67.0,26 November 2025,
BMW,X4,X4 M40i,A8,Automatic,2998,Petrol Electric,Mild Hybrid Electric Vehicle (MHEV),360,265,,,,,Euro 6 EA,False,WLTP,22.2,31.7,35.7,31,30.7,0,12.7,8.9,7.9,9.1,9.2,0,205,0,,,,,109,15,13,,0.32,,,68.0,26 November 2025,
BMW,X4,X4 M40i,A8,Automatic,2998,Petrol Electric,Mild Hybrid Electric Vehicle (MHEV),360,265,,,,,Euro 6 EA,False,WLTP,22.4,32.1,36.2,31.7,31.4,0,12.6,8.8,7.8,8.9,9,0,209,0,,,,,109,15,13,,0.32,,,68.0,26 November 2025,
BMW,X4 M,X4 M Competition,A8,Automatic,2993,Petrol,Internal Combustion Engine (ICE),510,375,,,,,Euro 6 EA,False,WLTP,17.6,26.1,30.7,27.1,26.1,0,16,10.8,9.2,10.4,10.8,0,244,0,,,,,152,9,13,,0.21,,,70.0,26 November 2025,
BMW,X4 M,X4 M Competition,A8,Automatic,2993,Petrol,Internal Combustion Engine (ICE),510,375,,,,,Euro 6 EA,False,WLTP,17.9,26.4,31,27.4,26.4,0,15.8,10.7,9.1,10.3,10.7,0,247,0,,,,,152,9,13,,0.21,,,70.0,26 November 2025,
BMW,X5,X5 xDrive40d M Sport,A8,Automatic,2993,Diesel Electric,Mild Hybrid Electric Vehicle (MHEV),352,259,,,,,Euro 6 EC,False,WLTP,26.2,42.2,44.8,37.7,38.2,0,10.8,6.7,6.3,7.5,7.4,0,205,0,,,,,103,,36,54,0.57,,,68.0,26 November 2025,
